case_id,prefix,k,next_act
Case230,turning-&-milling---machine-6,0,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6,1,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,2,turning-&-milling-q.c.
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,3,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6,4,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,5,turning-&-milling-q.c.
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,6,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6,7,turning-&-milling---machine-6
Case230,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,8,turning-&-milling---machine-6
Case155,turning---machine-8,0,turning-&-milling---machine-8
Case155,turning---machine-8 turning-&-milling---machine-8,1,turning-&-milling---machine-8
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,2,turning-&-milling-q.c.
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,3,turning-&-milling---machine-8
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,4,turning-&-milling-q.c.
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c.,5,laser-marking---machine-7
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. laser-marking---machine-7,6,laser-marking---machine-7
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7,7,lapping---machine-1
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1,8,final-inspection-q.c.
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 final-inspection-q.c.,9,final-inspection-q.c.
Case155,turning---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 final-inspection-q.c. final-inspection-q.c.,10,packing
Case203,turning-&-milling-q.c.,0,laser-marking---machine-7
Case203,turning-&-milling-q.c. laser-marking---machine-7,1,lapping---machine-1
Case203,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1,2,flat-grinding---machine-11
Case203,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 flat-grinding---machine-11,3,lapping---machine-1
Case203,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 flat-grinding---machine-11 lapping---machine-1,4,packing
Case203,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 flat-grinding---machine-11 lapping---machine-1 packing,5,final-inspection-q.c.
Case211,turning-&-milling-q.c.,0,laser-marking---machine-7
Case211,turning-&-milling-q.c. laser-marking---machine-7,1,laser-marking---machine-7
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7,2,lapping---machine-1
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1,3,lapping---machine-1
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 lapping---machine-1,4,final-inspection-q.c.
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 lapping---machine-1 final-inspection-q.c.,5,final-inspection-q.c.
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 lapping---machine-1 final-inspection-q.c. final-inspection-q.c.,6,packing
Case211,turning-&-milling-q.c. laser-marking---machine-7 laser-marking---machine-7 lapping---machine-1 lapping---machine-1 final-inspection-q.c. final-inspection-q.c. packing,7,packing
Case206,turning-&-milling-q.c.,0,laser-marking---machine-7
Case206,turning-&-milling-q.c. laser-marking---machine-7,1,lapping---machine-1
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1,2,round-grinding---manual
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual,3,round-grinding---manual
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual,4,final-inspection-q.c.
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual final-inspection-q.c.,5,final-inspection-q.c.
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual final-inspection-q.c. final-inspection-q.c.,6,packing
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual final-inspection-q.c. final-inspection-q.c. packing,7,round-grinding---machine-12
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual final-inspection-q.c. final-inspection-q.c. packing round-grinding---machine-12,8,round-grinding---machine-12
Case206,turning-&-milling-q.c. laser-marking---machine-7 lapping---machine-1 round-grinding---manual round-grinding---manual final-inspection-q.c. final-inspection-q.c. packing round-grinding---machine-12 round-grinding---machine-12,9,round-grinding---machine-12
Case248,turning-&-milling---machine-9,0,turning-&-milling---machine-9
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9,1,turning-&-milling---machine-9
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9,2,lapping---machine-1
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1,3,turning-&-milling-q.c.
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c.,4,laser-marking---machine-7
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7,5,flat-grinding---machine-11
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7 flat-grinding---machine-11,6,flat-grinding---machine-11
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11,7,lapping---machine-1
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1,8,round-grinding---machine-2
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 round-grinding---machine-2,9,round-grinding---machine-2
Case248,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-9 lapping---machine-1 turning-&-milling-q.c. laser-marking---machine-7 flat-grinding---machine-11 flat-grinding---machine-11 lapping---machine-1 round-grinding---machine-2 round-grinding---machine-2,10,round-grinding---machine-2
Case251,turning-&-milling---machine-5,0,turning-&-milling---machine-5
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5,1,turning-&-milling---machine-5
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5,2,turning-&-milling-q.c.
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c.,3,laser-marking---machine-7
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7,4,turning-&-milling-q.c.
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c.,5,lapping---machine-1
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1,6,other
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other,7,final-inspection-q.c.
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other final-inspection-q.c.,8,final-inspection-q.c.
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other final-inspection-q.c. final-inspection-q.c.,9,other
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other final-inspection-q.c. final-inspection-q.c. other,10,packing
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other final-inspection-q.c. final-inspection-q.c. other packing,11,final-inspection-q.c.
Case251,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling-q.c. laser-marking---machine-7 turning-&-milling-q.c. lapping---machine-1 other final-inspection-q.c. final-inspection-q.c. other packing final-inspection-q.c.,12,final-inspection-q.c.
Case163,packing,0,final-inspection-q.c.
Case163,packing final-inspection-q.c.,1,turning-q.c.
Case163,packing final-inspection-q.c. turning-q.c.,2,turning-q.c.
Case163,packing final-inspection-q.c. turning-q.c. turning-q.c.,3,turning---machine-8
Case163,packing final-inspection-q.c. turning-q.c. turning-q.c. turning---machine-8,4,packing
Case200,other,0,grinding-rework---machine-27
Case200,other grinding-rework---machine-27,1,final-inspection-q.c.
Case207,turning-&-milling---machine-6,0,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6,1,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,2,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,3,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,4,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,5,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,6,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,7,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,8,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,9,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,10,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,11,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,12,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,13,turning-&-milling---machine-9
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-9,14,turning-&-milling---machine-6
Case207,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-9 turning-&-milling---machine-6,15,turning-&-milling-q.c.
Case253,turning-&-milling---machine-9,0,turning-&-milling---machine-9
Case253,turning-&-milling---machine-9 turning-&-milling---machine-9,1,turning-&-milling-q.c.
Case253,turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling-q.c.,2,turning-&-milling---machine-9
Case260,turning-&-milling---machine-6,0,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6,1,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,2,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,3,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,4,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,5,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,6,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6,7,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,8,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,9,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c.,10,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6,11,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,12,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,13,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,14,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c.,15,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6,16,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,17,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,18,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,19,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,20,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,21,turning-&-milling-q.c.
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c.,22,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6,23,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6,24,turning-&-milling---machine-6
Case260,turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling-q.c. turning-&-milling---machine-6 turning-&-milling---machine-6 turning-&-milling---machine-6,25,turning-&-milling---machine-6
Case182,turning-&-milling-q.c.,0,other
Case198,turning-&-milling---machine-5,0,turning-&-milling---machine-5
Case198,turning-&-milling---machine-5 turning-&-milling---machine-5,1,turning-&-milling---machine-5
Case198,turning-&-milling---machine-5 turning-&-milling---machine-5 turning-&-milling---machine-5,2,turning-&-milling---machine-5
Case269,turning-&-milling---machine-8,0,turning-&-milling---machine-8
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8,1,turning-&-milling-q.c.
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,2,turning-&-milling---machine-8
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,3,turning-&-milling---machine-8
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8,4,turning-&-milling-q.c.
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,5,turning-&-milling---machine-8
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,6,turning-&-milling-q.c.
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c.,7,turning-&-milling---machine-8
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,8,turning-&-milling-q.c.
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c.,9,lapping---machine-1
Case269,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling-q.c. lapping---machine-1,10,laser-marking---machine-7
